step,phase,t_s,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms,fwd_progress_m,lat_offset_m,speed_ms,front_d_m,min_depth_m,prox_alarm,depth_top,depth_mid,depth_bot,tgt_x,tgt_y,tgt_z,collision,near_miss,armed,mode
0,OUTBOUND,0.0,-0.0,-0.4,1.576,-38.682,0.401,-0.678,-0.0,-0.0,38.682,5.921,3.47,0,4.507,10.0,3.986,0.225,-0.379,1.489,0,0,0,OFFBOARD
1,OUTBOUND,0.1,-0.0,-0.4,1.569,-38.682,0.401,-0.678,-0.0,-0.0,38.682,5.884,3.493,0,4.564,10.0,3.93,0.517,-0.334,1.484,0,0,0,OFFBOARD
2,OUTBOUND,0.2,0.001,-0.4,1.562,-38.682,0.401,-0.678,0.0,-0.0,38.682,5.615,3.488,0,4.722,10.0,3.761,0.851,-0.273,1.485,0,0,0,OFFBOARD
3,OUTBOUND,0.3,0.004,-0.4,1.554,-38.682,0.401,-0.678,0.004,0.0,38.682,4.995,3.459,0,4.754,10.0,3.473,1.199,-0.201,1.49,0,0,0,OFFBOARD
4,OUTBOUND,0.41,0.014,-0.398,1.547,-38.682,0.401,-0.678,0.014,0.002,38.682,4.31,3.541,0,5.778,6.906,3.128,1.509,-0.129,1.498,0,0,0,OFFBOARD
5,OUTBOUND,0.51,0.036,-0.395,1.54,-38.682,0.401,-0.678,0.036,0.005,38.682,3.714,3.632,0,6.853,5.519,2.809,1.722,-0.069,1.509,0,0,0,OFFBOARD
6,OUTBOUND,0.61,0.076,-0.39,1.535,-38.682,0.401,-0.678,0.076,0.011,38.682,3.29,3.196,0,10.0,4.646,2.568,1.861,-0.011,1.521,0,0,0,OFFBOARD
7,OUTBOUND,0.71,0.14,-0.379,1.53,-38.682,0.401,-0.678,0.14,0.021,38.682,3.059,2.955,0,10.0,4.206,2.432,1.961,0.042,1.535,0,0,0,OFFBOARD
8,OUTBOUND,0.81,0.231,-0.364,1.526,-38.682,0.401,-0.678,0.231,0.036,38.682,3.014,2.898,0,10.0,4.133,2.406,2.061,0.09,1.55,0,0,0,OFFBOARD
9,OUTBOUND,0.91,0.348,-0.343,1.524,-38.682,0.401,-0.678,0.348,0.057,38.682,3.143,3.012,0,10.0,4.396,2.487,2.161,0.134,1.566,0,0,0,OFFBOARD
10,OUTBOUND,1.01,0.49,-0.315,1.524,-38.682,0.401,-0.678,0.49,0.085,38.682,3.22,3.082,0,10.0,4.552,2.533,2.261,0.179,1.581,0,0,0,OFFBOARD
11,OUTBOUND,1.12,0.649,-0.282,1.525,-38.682,0.401,-0.678,0.649,0.118,38.682,3.895,3.717,0,6.361,6.039,2.92,2.361,0.235,1.597,0,0,0,OFFBOARD
12,OUTBOUND,1.22,0.822,-0.243,1.528,-38.682,0.401,-0.678,0.822,0.157,38.682,4.495,3.899,0,5.299,10.0,3.237,2.461,0.308,1.613,0,0,0,OFFBOARD
